objectid,filename,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Bella001,BellaSleepingCloseUp.JPG,Sleeping,image/jpeg,Bella sleeping on my couch,"Volk, Jessica",,11-08-2025,,image,dog; sleeping,,,,,,,,,,,,,,
Bella002,BellaArguing.JPG,Argumentative,image/jpeg,Bella arguing with her uncle over more treats,"Volk, Jessica",,,,image,,,,,,,,,,,,,,,
Bella003,BellaasMrsKtavitz.JPG,Nosy Dog,image/jpeg,Bella being nosy and spying on the neighbors,"Volk, Jessica",,,,image,,,,,,,,,,,,,,,
Bella004,BellaSittingLikeAHuman.JPG,Holding court,image/jpeg,Bella sitting on the couch holding court,"Volk, Jessica",,,,image,,,,,,,,,,,,,,,
Bella005,Waiting.JPG,Waiting,image/jpeg,Bella waiting for mom to come back from vacation,"Volk, Jessica",,,,image,,,,,,,,,,,,,,,
