objectid,filename,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Bella001,BellaSleepingCloseUp.jpg,Sleeping,image/jpeg,Bella sleeping on my couch,"Volk, Jessica",,11-08-2025,,image,dog; sleeping,,,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella002,BellaArguing.jpg,Argumentative,image/jpeg,Bella arguing with her uncle over more treats,"Volk, Jessica",,,,image,,,,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella003,BellaasMrsKravitz.jpg,Nosy Dog,image/jpeg,Bella being nosy and spying on the neighbors,"Volk, Jessica",,,,image,,,,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella004,BellaSittingLikeAHuman.jpg,Holding court,image/jpeg,Bella sitting on the couch holding court,"Volk, Jessica",,,,image,,,,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella005,Waiting.jpg,Waiting,image/jpeg,Bella waiting for mom to come back from vacation,"Volk, Jessica",,,,image,,,,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
